id,name,definition,type
1,§1. Терминология теории вероятностей,,Section
239,Пространство элементарных событий (исходов),"	Таким пространством будем называть любое множество элементарных событий, обладающих следующими свойствами. 
	Во-первых, все они взаимно исключают друг друга - являются непересекающимися, т.е. в результате эксперимента происходит одно и только одно элементарное событие. 
	Во-вторых, каждый интересующий нас результат эксперимента может быть однозначно описан с помощью элементарных событий, которые будем обозначать $\omega, \omega \in \Omega$. 
	Пространство элементарных событий можно трактовать как множество всех исходов исследуемого случайного явления.",Term
240,Пример 1,"	Рассмотрим опыт с бросанием игральной кости. Пространство элементарных событий имеет вид $\Omega=\left\{\omega_{1}, \omega_{2}, \omega_{3}, \omega_{4}, \omega_{5}, \omega_{6}\right\}$, где $\omega_{k}$ - элементарное событие, состоящее в том, что на верхней грани кубика выпала цифра $k, k=1, \ldots, 6$.",Example
241,Пример 2,"	Внутрь единичного квадрата бросается частица. В этом случае пространство элементарных событий может быть описано следующим образом:
$$\Omega=\{\omega=(x, y): 0 \leq x, y \leq 1\},$$
	т.е. здесь элементарное событие - произвольная точка квадрата.",Example
242,Алгебра событий,"	Класс $\mathscr{A}$ подмножеств пространства $\Omega$ назовем алгеброй событий, если:
    	- $\varnothing \in \mathscr{A}, \Omega \in \mathscr{A}$;
    	- из того, что $A \in \mathscr{A}$, следует $\bar{A}=\Omega \backslash A \in \mathscr{A}$;
    	- из соотношений $A \in \mathscr{A}, B \in \mathscr{A}$ следует, что $A \cup B \in \mathscr{A}$.",Term
243,Алгебра,"	$\mathscr{A}$ называется $\sigma$-алгеброй (сигма-алгеброй), если из того, что $A_{n} \in \mathscr{A}$ для всех $n \in N$ следует, что $\bigcup_{n=1}^{\infty} A_{n} \in \mathscr{A}$.",Term
244,Достоверное событие,"	Достоверным событием будем называть случайное событие, которое всегда происходит при осуществлении данного комплекса условий. Несложно видеть, что оно совпадает со всем пространством элементарных событий, поэтому будем его обозначать $\Omega$.",Term
245,Невозможное событие,"	Невозможным событием назовем случайное событие, которое никогда не происходит при реализации данного комплекса условий. Обозначать невозможное событие будем $\varnothing$. Так, в примере 1 событие, состоящее в выпадении не менее одного очка, является достоверным, а событие, состоящее в том, что выпало семь очков, - невозможным.",Term
246,Произведение (пересечение) событий,"	Произведением (пересечением) событий $A$ и $B$ будем называть событие, обозначаемое $A \cap B$ или $A B$, которое происходит тогда и только тогда, когда одновременно происходят события $A$ и $B$.",Term
247,Несовместные события,"	События $A$ и $B$ назовем несовместными, если $A \cap B=\varnothing$ (т.е. вместе произойти они не могут).",Term
249,Сумма (объединение) событий,"	Суммой или объединением событий $A$ и $B$ назовем событие, обозначаемое $A \cup B$ или $A+B$ (в случае, когда они несовместны), которое происходит тогда и только тогда, когда происходят $A$ или $B$, или оба вместе.",Term
250,Разность событий,"	Разностью событий $A$ и $B$ назовем событие $A \backslash B$, происходящее тогда и только тогда, когда произошло $A$, но не произошло $B$.",Term
251,Противоположное событие,"	Coбытием, противоположным событию $A$, будем называть событие $\bar{A}=\Omega \backslash A$.",Term
252,Симметрическая разность событий,"	Симметрической разностью назовем событие $A \Delta B$, которое происходит тогда и только тогда, когда происходит хотя бы одно из событий $A \backslash B$ или $B \backslash A$.",Term
253,Пример 4,"	Бросается игральная кость. Тогда $\Omega=\{1,2,3,4,5,6\}$ (см. пример 1). Рассмотрим следующие случайные события:
	$A=\{$ выпало четное число очков $\}$, т. е. $A=\{2,4,6\}$,
	$B=\{$ выпавшее число очков больше трех $\}$, т. е. $B=\{4,5,6\}$.
	Найдите $\bar{A}, \bar{B}, A \cup B, A \cap B, A \backslash B$. Являются ли события $A$ и $B$ несовместными?
	Решение: $\bar{A}=\{1,3,5\}, \bar{B}=\{1,2,3\}, A \cup B=\{2,4,5,6\}, A \cap B=\{4,6\}, A \backslash B=\{2\}$. События $A$ и $B$ не являются несовместными, так как $A \bigcap B \neq \varnothing$.",Example
